# event# KE_neutrino(MeV) cos(theta_e+)_wrt_neutrino_momentum_direction KE_e+(MeV) cos(theta_neutron)_wrt_neutrino_momentum_direction KE_neutron(MeV)
       226  2.026   -0.8196947463    0.2182061594    0.9926991599  0.003247840584
       227  2.027    -0.910989604    0.2190979416    0.9963261295  0.003356058481
       228  2.028   -0.5087522836    0.2205446651    0.9812485041  0.002909334946
       229  2.029    0.6241432289    0.2228254345    0.9719416277  0.001628565509
       230   2.03    0.4912334792    0.2236729765    0.9679040694  0.001781023464
       231  2.031   0.09820834454    0.2242223774    0.9664412774  0.002231622592
       232  2.032    0.4144367459    0.2255824202    0.9662932412   0.00187157981
       233  2.033    -0.485774342    0.2255472366    0.9801234644  0.002906763452
       234  2.034    0.4120794777     0.227576755    0.9659579895  0.001877244979
       235  2.035   -0.6065022363    0.2273988272    0.9842338445  0.003055172761
       236  2.036     0.326379321    0.2294742218    0.9648986323   0.00197977822
       237  2.037   -0.9383652173     0.229004521    0.9973563938  0.003449478996
       238  2.038    0.2584855049    0.2313913093    0.9644559493  0.002062690727
       239  2.039    0.2496151398    0.2323788772    0.9643161031  0.002075122852
       240   2.04    0.8461011932     0.234079021    0.9837017997  0.001374979041
       241  2.041    0.1876159478    0.2343016629    0.9642529064  0.002152337138
       242  2.042    0.3299994753    0.2354677096    0.9640076123  0.001986290446
       243  2.043   -0.1089916821    0.2359457821    0.9683881559  0.002508217877
       244  2.044   -0.3986916444    0.2365988977    0.9763806152  0.002855102352
       245  2.045   -0.1662332499    0.2378709429    0.9695178823  0.002583057117
       246  2.046     0.233494815    0.2393450311    0.9633146727  0.002108968874
       247  2.047   -0.1247603712     0.239913469    0.9682823556  0.002540531012
       248  2.048   -0.9648344503     0.239903716    0.9984310984  0.003550284003
       249  2.049    0.3797296435    0.2425151687    0.9633097295  0.001938831291
       250   2.05    0.8752750438    0.2441148232    0.9855318596  0.001339176818
       251  2.051   0.05087057734    0.2441126734    0.9643300439  0.002341326635
       252  2.052    0.8258756818    0.2460546997    0.9809560766  0.001399300276
       253  2.053   -0.6992323152    0.2451940559    0.9869539053  0.003259944106
       254  2.054   -0.9031930608    0.2459403175    0.9956397174  0.003513682545
       255  2.055    -0.304754898    0.2476655596    0.9724001306  0.002788440406
       256  2.056   -0.2343057995    0.2487480114      0.97018005  0.002705988593
       257  2.057  -0.03387991339    0.2499912517    0.9650736708  0.002462748303
       258  2.058   -0.9576945626    0.2498485082    0.9980558824  0.003605491837
       259  2.059    0.5590488259    0.2527218374    0.9653809756  0.001732162677
       260   2.06   -0.6120647988    0.2522638227    0.9830901315  0.003190177309
       261  2.061    0.4436056688    0.2545753139    0.9623199233  0.001878686065
       262  2.062   -0.7763268822    0.2540487677    0.9898844879  0.003405232363
       263  2.063   -0.5545261218    0.2553202715    0.9806366409  0.003133728531
       264  2.064    0.8891475662    0.2581339047    0.9859531414  0.001320095316
       265  2.065    0.4722083658    0.2586057576    0.9622414019   0.00184824243
       266  2.066    -0.383189769    0.2585215895    0.9740355648  0.002932410501
       267  2.067    0.8280306072    0.2610563669    0.9797486812  0.001397633138
       268  2.068    0.7660184596    0.2619769961    0.9746387993  0.001477003949
       269  2.069   -0.8925443254    0.2608608759    0.9949475546  0.003593124125
       270   2.07   -0.5577536551    0.2622813151     0.980345402   0.00317268492
       271  2.071   -0.5011966922    0.2633486697    0.9780407507   0.00310533031
       272  2.072   -0.9208240579    0.2638061468    0.9962300578  0.003647853171
       273  2.073   -0.7782802186    0.2649828803    0.9896392132  0.003471119725
       274  2.074   -0.2404705286    0.2666708767    0.9685506824  0.002783123344
       275  2.075    0.5707910825    0.2687205344    0.9634380238   0.00173346557
       276  2.076    -0.173282071    0.2687504076    0.9663180022  0.002703592372
       277  2.077    -0.881237349    0.2688260895    0.9942976024  0.003627910525
       278  2.078   -0.1276099156    0.2708027904    0.9648171977  0.002651209669
       279  2.079   0.08841422806    0.2720825897    0.9600024992  0.002371410348
       280   2.08    -0.423936497    0.2724067322    0.9744175878   0.00304726777
       281  2.081   -0.3364330712    0.2735173155     0.971110954  0.002936684489
       282  2.082   -0.3802140988    0.2744553123    0.9726167536  0.002998687746
       283  2.083    0.2306365608      0.27626037    0.9579250071  0.002193630024
       284  2.084    0.6425133343    0.2778070106    0.9651382848  0.001646989484
       285  2.085   -0.8920347407    0.2767624964    0.9946934526  0.003691503627
       286  2.086   -0.4208684955    0.2783835178    0.9738441927  0.003070482242
       287  2.087  -0.01623201929     0.279920437     0.960975038  0.002533563056
       288  2.088    0.6190763135    0.2817722865    0.9634853209  0.001681713585
       289  2.089    0.7629310624    0.2829659603    0.9720126972  0.001488039683
       290   2.09     0.230551471    0.2832445563    0.9569156536  0.002209443718
       291  2.091    0.4087706911     0.284484065    0.9572735627  0.001969935056
       292  2.092   -0.1071497952    0.2847814391    0.9626780286  0.002672560964
       293  2.093   -0.2370909243    0.2856013018    0.9665660921  0.002852698227
       294  2.094   -0.2928199954    0.2865214554    0.9683998126  0.002932544624
       295  2.095 -0.006762975827    0.2879083801    0.9597729947  0.002545619884
       296  2.096   -0.6057467945    0.2880850965    0.9809474755  0.003368903554
       297  2.097   -0.2200568477    0.2896090312    0.9656024171  0.002844968795
       298  2.098   -0.7417565282    0.2898878485    0.9871544253  0.003566151509
       299  2.099   -0.8331224378    0.2907564162    0.9915621385  0.003697583768
       300    2.1   -0.1458458137    0.2927001789    0.9629221119  0.002753821124
       301  2.101  -0.06158527406    0.2938135771    0.9604051933  0.002640422939
       302  2.102   -0.2707757847    0.2945191512    0.9668754705  0.002934848777
       303  2.103    0.4012053837    0.2964538846    0.9553770791  0.002000115397
       304  2.104   -0.8088005111    0.2957601238    0.9902432251  0.003693876264
       305  2.105   -0.4288787153    0.2972855227    0.9727507232  0.003168477314
       306  2.106    0.5061575612     0.299596932    0.9568732726  0.001857068065
       307  2.107   -0.6834250032    0.2989183487    0.9840367531  0.003535651326
       308  2.108   -0.2556729191    0.3005161321    0.9657716983  0.002937867915
       309  2.109    0.5457735043    0.3026493473     0.957598266   0.00180465275
       310   2.11   -0.8717583395    0.3016352878    0.9932999014  0.003818712201
       311  2.111  -0.06188643118    0.3037799581    0.9592480823  0.002674041957
       312  2.112    0.4891708302    0.3055647367    0.9555512773  0.001889263272
       313  2.113    0.6089662709     0.306735446    0.9594769464  0.001718554018
       314  2.114   -0.8369107135    0.3056602719    0.9914365624  0.003793728116
       315  2.115   -0.5777967102    0.3070255564    0.9786769127  0.003428443653
       316  2.116   -0.1878671148    0.3085816669    0.9626079003  0.002872333179
       317  2.117  -0.09896310093    0.3097063407    0.9596366276  0.002747659336
       318  2.118     0.014259574    0.3108669642    0.9564443207  0.002587035813
       319  2.119   -0.0708835898    0.3117401727    0.9585815178  0.002713827276
       320   2.12    0.7852040464    0.3139865124    0.9703966521   0.00146748767
       321  2.121  -0.07373675518    0.3137292437    0.9584366913  0.002724756347
       322  2.122   -0.9282803149    0.3134784656    0.9961174874  0.003975534383
       323  2.123    0.5580520569    0.3166508682    0.9559591508  0.001803131799
       324  2.124    0.2943039648    0.3172607874    0.9517528442    0.0021932126
       325  2.125    0.7913564122    0.3189939201    0.9704265969  0.001460079908
       326  2.126   -0.6628569104     0.317843291    0.9822488308  0.003610709053
       327  2.127   -0.7792107705    0.3186661074     0.988140718   0.00378789265
       328  2.128    0.1590812011    0.3210513033    0.9523210716  0.002402696684
       329  2.129   -0.6693014875    0.3208172368    0.9824463848  0.003636763227
       330   2.13   0.06677410332     0.322908293    0.9537408742  0.002545706985
       331  2.131   -0.1828171336    0.3235321386    0.9609185388  0.002921861407
       332  2.132    0.8305707532    0.3260506906      0.97380915  0.001403309425
       333  2.133   -0.3997722985    0.3251989835    0.9694438188  0.003255016541
       334  2.134     0.149126709    0.3270207669    0.9516629727  0.002433233159
       335  2.135   -0.7290922906    0.3266941079    0.9852857786   0.00375989212
       336  2.136   -0.1086050328    0.3286253326    0.9578534027  0.002828667391
       337  2.137    0.6661956403    0.3307992277    0.9591442607  0.001654772264
       338  2.138   -0.6471461174    0.3298009738    0.9809450452   0.00365302626
       339  2.139    0.1367319687    0.3319886859    0.9512011649  0.002465314065
       340   2.14  -0.01351025747    0.3327563597    0.9545087071  0.002697640335
       341  2.141    -0.509815997    0.3329941805    0.9739802904  0.003459819549
       342  2.142   -0.9277706398    0.3333502317    0.9959126825  0.004103768366
       343  2.143   -0.7159727844    0.3346681065     0.984324602  0.003785893566
       344  2.144    0.6639743079    0.3377902175    0.9580472693  0.001663782556
       345  2.145   -0.6974042454    0.3366852342    0.9832717283  0.003768765803
       346  2.146   -0.0668672733    0.3386543469    0.9554078581  0.002799653103
       347  2.147   -0.7323020925    0.3386199244    0.9850608866  0.003834075624
       348  2.148   -0.4215714592    0.3400961789    0.9693458061   0.00335782111
       349  2.149   -0.6253709542    0.3407744992    0.9793377484  0.003679500808
       350   2.15   -0.6569070527    0.3417199474    0.9809412307  0.003734052613
       351  2.151   0.09874386806    0.3438967648     0.950369955  0.002557235261
       352  2.152   -0.3123194859    0.3442486371     0.964122344   0.00320536292
       353  2.153    0.9677048619    0.3472632661    0.9932249283  0.001190733879
       354  2.154   -0.4431877127    0.3460339549    0.9699530072  0.003420045131
       355  2.155   -0.4577477523    0.3470062021    0.9705876093  0.003447797927
       356  2.156   -0.6045715259    0.3477693439    0.9779301556  0.003684656135
       357  2.157   -0.6153710345    0.3487468811    0.9784492762  0.003707118935
       358  2.158    0.4595818925    0.3514522494    0.9480396205   0.00200175062
       359  2.159    0.9312117565    0.3532062861    0.9861433975  0.001247713935
       360   2.16   -0.1370767429    0.3524939732    0.9563117783   0.00296002684
       361  2.161   -0.6558248554    0.3526606264    0.9804294616  0.003793373656
       362  2.162    0.4066670118    0.3553607568    0.9466491447  0.002093243252
       363  2.163   -0.5911367587     0.354753284    0.9768877738  0.003700715991
       364  2.164    0.0310248374    0.3567503113    0.9504103865  0.002703688743
       365  2.165    0.5108122374    0.3585243325    0.9482190078  0.001929667472
       366  2.166   -0.8152996092    0.3573753867    0.9891586687  0.004078613368
       367  2.167   -0.7973668962    0.3583982387    0.9881082345  0.004055761309
       368  2.168   -0.9013727065    0.3592236492     0.994130452   0.00423035079
       369  2.169   -0.2645630925    0.3612527644    0.9605965437  0.003201235657
       370   2.17   -0.5357707217    0.3618061166    0.9736155528  0.003647883393
       371  2.171    0.7335288147    0.3648822181    0.9596119237  0.001571781894
       372  2.172     0.206188444    0.3650132183     0.945679565  0.002440781708
       373  2.173    0.2086701342    0.3660148067    0.9455095708  0.002439193348
       374  2.174    0.5737084714    0.3676157967    0.9490980365  0.001838203287
       375  2.175   -0.6492083413    0.3665934094    0.9794922325  0.003860590548
       376  2.176    0.3370726532    0.3692203753    0.9442054283  0.002233624708
       377  2.177    0.2734434889    0.3701125097    0.9442751581  0.002341490257
       378  2.178   -0.3567990479    0.3700618251    0.9640915582   0.00339217491
       379  2.179   0.09260140406    0.3718061023    0.9469651892  0.002647897695
       380   2.18     0.580277923    0.3736196936    0.9485055427  0.001834306367
       381  2.181    0.9301387691    0.3752069565    0.9848015355  0.001247043475
       382  2.182    0.9801506144    0.3762914426    0.9952554345  0.001162557426
       383  2.183    0.3768598214    0.3762731262    0.9433189536  0.002180873815
       384  2.184   -0.6271204469    0.3755802183    0.9778805709   0.00387378174
       385  2.185    0.3635607767    0.3782468001    0.9429643258  0.002207199898
       386  2.186    0.2665899019    0.3790804056    0.9430723085  0.002373594426
       387  2.187    0.2299120808    0.3800157912    0.9433246253  0.002438208856
       388  2.188   -0.1262655905     0.380407701    0.9530429158  0.003046298992
       389  2.189    0.8933626083    0.3831447061    0.9776601446  0.001309293967
       390   2.19   -0.4997776975     0.381763741    0.9705781781  0.003690259031
       391  2.191    0.1588812671    0.3838843544    0.9439561106  0.002569645651
       392  2.192   -0.8852328616    0.3830953709    0.9928647563  0.004358629109
       393  2.193   -0.9964422216     0.383898865    0.9997760427  0.004555135059
       394  2.194   -0.3436116804     0.386011609    0.9622365945  0.003442390986
       395  2.195   -0.1429477427    0.3873527812    0.9530145081  0.003101218797
